"side","doi_1","doi_2","title_1","title_2","title_sim","first_author_1","first_author_2","year_1","year_2","is_preprint_1","is_preprint_2","group_key","action","doi_o_group"
"INSTRUCTIONS -->","DOI #1","DOI #2","(title for doi_1)","(title for doi_2)",NA,NA,NA,NA,NA,NA,NA,NA,"keep_1 = keep doi_1 | keep_2 = keep doi_2 | keep_both = not a duplicate",NA
"original","10.1080/14719037.2013.822532","10.2139/ssrn.2187902","Did New Public Management Matter? An empirical analysis of the outsourcing and decentralization effects on public sector size","Did New Public Management Matter? An Empirical Analysis of the Outsourcing and Decentralization Effects on Public Sector Size",1,"alonso","alonso",2013,2011,FALSE,TRUE,"title: did new public management matter an empirical analysis of th","keep_1",NA
"original","10.53841/bpscep.2011.1.12.29","10.1037/a0021524","Feeling the Future: Experimental evidence for anomalous retroactive influences on cognition and affect","Feeling the future: Experimental evidence for anomalous retroactive influences on cognition and affect.",1,"bem","bem",2011,2011,TRUE,FALSE,"title: feeling the future experimental evidence for anomalous retro","keep_2",NA
"original","10.1177/002224298204600109","10.2307/1251163","The Effects of Music in Advertising on Choice Behavior: A Classical Conditioning Approach","The Effects of Music in Advertising on Choice Behavior: A Classical Conditioning Approach",1,"gorn","gorn",1982,1982,FALSE,FALSE,"title: the effects of music in advertising on choice behavior a cla","keep_1",NA
"original","10.1037/0022-3514.37.10.1660","10.4324/9780203496398-9","The role of category accessibility in the interpretation of information about persons: Some determinants and implications.","The Role of Category Accessibility in the Interpretation of Information About Persons: Some Determinants and Implications",1,"srull","srull",1979,2004,FALSE,FALSE,"title: the role of category accessibility in the interpretation of","keep_1",NA
"original (DOI variant)","10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y","10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y","Less is better: when low-value options are valued more highly than high-value options","Less is better: when low-value options are valued more highly than high-value options",1,"hsee","hsee",1998,1998,FALSE,FALSE,"doi_variant: 10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y","keep_1",NA
"original (DOI variant)","10.1037//0022-3514.46.4.778","10.1037/0022-3514.46.4.778","The evening news and presidential evaluations.","The evening news and presidential evaluations.",1,"iyengar","iyengar",1984,1984,FALSE,FALSE,"doi_variant: 10.1037/0022-3514.46.4.778","keep_2",NA
"original (DOI variant)","10.1037//0022-3514.67.4.627","10.1037/0022-3514.67.4.627","Role of consciousness and accessibility of death-related thoughts in mortality salience effects.","Role of consciousness and accessibility of death-related thoughts in mortality salience effects.",1,"greenberg","greenberg",1994,1994,FALSE,FALSE,"doi_variant: 10.1037/0022-3514.67.4.627","keep_2",NA
"original (fuzzy)","10.31234/osf.io/uhbk9","10.1177/0956797620939054","Fighting COVID-19 misinformation on social media: Experimental evidence for a scalable accuracy nudge intervention","Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention",0.991,"pennycook","pennycook",2020,2020,TRUE,FALSE,"author: pennycook","keep_2",NA
"replication","10.1016/j.jarmac.2018.09.004","10.1037/h0101833","Eyewitness memory distortion following co-witness discussion: A replication of Garry, French, Kinzett, and Mori (2008) in ten countries.","Eyewitness memory distortion following co-witness discussion: A replication of Garry, French, Kinzett, and Mori (2008) in ten countries.",1,"ito","ito",2019,2019,FALSE,FALSE,"doi_o: 10.1002/acp.1376","keep_2","10.1002/acp.1376"
"replication","10.31234/osf.io/p9dgn","10.1016/j.cortex.2022.12.003","Feasibility of Unconscious Instrumental Conditioning: A Registered Replication","Feasibility of unconscious instrumental conditioning: A registered replication",1,"skora","skora",2020,2023,TRUE,FALSE,"doi_o: 10.1016/j.neuron.2008.07.005","keep_2","10.1016/j.neuron.2008.07.005"
"replication","10.15626/mp.2022.3108","10.31234/osf.io/nymh2","Defaults versus framing: Revisiting Default Effect and Framing Effect with replications and extensions of Johnson and Goldstein (2003) and Johnson, Bellman, and Lohse (2002)","Defaults versus framing: Revisiting Default Effect and Framing Effect with replications and extensions of Johnson and Goldstein (2003) and Johnson, Bellman, and Lohse (2002)",1,"chandrashekar","chandrashekar",2023,2022,FALSE,TRUE,"doi_o: 10.1023/a:1015044207315","keep_1","10.1023/a:1015044207315"
"replication","10.1525/collabra.35271","10.31234/osf.io/vef2c","Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement","Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement",1,"klein","klein",2022,2019,FALSE,TRUE,"doi_o: 10.1037//0022-3514.67.4.627","keep_1","10.1037//0022-3514.67.4.627"
